name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Smart Phones,16/05/23,False,,12800.0,12800.0,4.0,"[0, 1, 0, 0, 0]","It is good product. It has good sensitivity. But I want to please upgrade new version for good sensitivity and stable charging more. So, Please upgrade new version.  Thank you !!",figi,105841183_NP-1027715687,3000 - 3999 mAh,6.6 - 7 Inch,Plastic,5 MP,13 MP,3,Not Specified,2020,GSM,No,No,2,Above 500 PPI,Micro USB,Yes,Yes,Yes,Micro,No,Yes,Yes,,Rear,Not Specified,Dedicated,Full HD,Android 9 (Pie),Yes,Figi Note 1,Yes,IPS LCD,Not Specified,,HD,
Alcatel 1 ,16/05/23,True,-26%,8499.0,6299.0,0.0,"[0, 0, 0, 0, 0]",,Alcatel,104192416_NP-1025062428,2000 - 2999 mAh,4.6 - 5 Inch,Plastic,5 MP,8 MP,2,Not Specified,2019,GSM,Not Specified,No,2,,,,,,,,,,,,,,HD,Android,No,Alcatel 1 (5033S),Yes,,Not Specified,,HD,
Samsung Galaxy S22 Ultra 5G ,16/05/23,False,,179999.0,179999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,114363978_NP-1031050671,5000 - 5999 mAh,6.6 - 7 Inch,Metal,40,108,5,Gorilla Glass Victus,2022,"4G,GSM,5G",45W,Yes,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,No,,2160p,Android,Yes,SM-S908B,No,Super AMOLED,Octa-core,120 Hz,4K,
Benco V90 ,16/05/23,False,,13999.0,13999.0,0.0,"[0, 0, 0, 0, 0]",,Benco,127547452_NP-1034549331,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,16MP,4,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,200-300 PPI,Type-C,Yes,,Yes,Nano,No,Yes,No,,Side Mounted,Yes,Dedicated,1080p,Android,Yes,V90,Yes,IPS LCD,Octa-core,60 Hz,,
Samsung Galaxy M14 5G ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127420956_NP-1034535151,6000 - 6999 mAh,6.6 - 7 Inch,Not Specified,13MP,50MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A53 5G ,16/05/23,False,,57499.0,57499.0,5.0,"[1, 0, 0, 0, 0]",very good item,Samsung,120075942_NP-1032810459,Not Specified,Not Specified,Plastic,Not Specified,Not Specified,2,Corning Gorilla Glass,2021,4G,Not Specified,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C55 ,16/05/23,False,,21999.0,21999.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,126573034_NP-1034303124,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,64MP+2MP,3,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA",33W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3710,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Samsung Galaxy A14 5G ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125955600_NP-1034134388,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP,"50MP primary, 2MP depth, 2MP macro",4,Glass,2023,"4G,GSM,5G",15W Fast Charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A14 5G,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD",
vivo V25 5G ,16/05/23,False,,52999.0,52999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,118832529_NP-1033966619,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,50 MP AF HD Portrait,64MP OIS Ultra sensing rear camera + 8MP+2MP,4,Glass,2022,5G,Yes,No,2,,,,,,,,,,,,,,Not Specified,Android 11,,,,,Not Specified,,,
Samsung Galaxy A04 ,16/05/23,True,-6%,14999.0,14150.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120632007_NP-1032945000,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Dual 50MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,"SM-A045F,",Yes,IPS LCD,Octa-core,60 Hz,HD,
Apple iPhone 14 Pro 128GB ,16/05/23,False,,180190.0,180190.0,0.0,"[0, 0, 0, 0, 0]",,Apple,126470027_NP-1034273316,3000 - 3999 mAh,6.1 - 6.5 Inch,Metal,12MP,48MP+12MP+12MP,4,Scratch Resistant Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA,5G",20W PD,Yes,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,No,,On-Screen,No,Not Specified,4K,iOS,Yes,A2890,No,Super AMOLED,Hexa-core,120 Hz,Full HD,
Oppo A17 4GB RAM 64GB ROM side fingerprint unluck 5000 MAH battery 50MP camera,16/05/23,True,-0.5%,19999.0,19899.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123975800_NP-1033651624,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,50MP,3,Not Specified,Not Specified,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,"1 years oppo company warrenty and 6 month charger , battery also"
Samsung Galaxy A54 5G ,16/05/23,True,-0.9%,56999.0,56499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125923166_NP-1034117972,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,32,50,4,Corning Gorilla Glass 5,2023,"4G,3G,5G",25W Super Fast Charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Shared,2160p,Android,Yes,A54 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
Realme C25Y ,16/05/23,False,,18749.0,18749.0,4.0,"[1, 1, 1, 0, 0]",overally device was good but I am not satisfied with the flash light of it. The flash is too dim its not that much powerful. the flash doesnt make things clearly visible infront of it. Hoping for your positive response over this matter.got it on good condition.but I noticed it has some heating issues while charging .is it normal or what?products also good,RealMe,110337209_NP-1030089445,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,4,Glass,2021,GSM,Yes,No,Not Specified,200-300 PPI,,,,,,,,,,,,,HD,Android 11,,,,,Not Specified,,,
Honor X7A ,16/05/23,True,-0.9%,22990.0,22790.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126925934_NP-1034385905,6000 - 6999 mAh,6.6 - 7 Inch,Glass,8 MP,50MP+5MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
Apple iPhone 14 ,16/05/23,True,-10%,154990.0,138990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122716416_NP-1033355937,Not Specified,6.1 - 6.5 Inch,Glass,12,12,2,Not Specified,2022,5G,up to 1hr,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A13 ,16/05/23,False,,25499.0,25499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123239475_NP-1033482201,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,50mp,4,Corning Gorilla Glass 5,2023,"4G,3G,2G",yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 14 Pro Max ,16/05/23,False,,265990.0,265990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,127363496_NP-1034526114,4000 - 4999 mAh,6.6 - 7 Inch,Glass,12MP,48MP+12MP+12MP,4,Corning Gorilla Glass 5,2022,"4G,GSM,3.5G - HSDPA,5G",20W,Yes,2,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,No,Not Specified,1080p,iOS,Yes,14 Pro Max,,OLED,Hexa-core,120 Hz,Ultra HD,
vivo y53s  RAM,16/05/23,True,-17%,34999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,115488648_NP-1031566266,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,16mp,64+2+2mp,4,Glass,2022,"4G,3G,2G",33w,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Shared,1080p,,Yes,y53s vivo,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Samsung Galaxy S23 Ultra ,16/05/23,False,,191999.0,191999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,124435213_NP-1033785208,5000 - 5999 mAh,6.6 - 7 Inch,Metal,12MP,Quad 200MP +10MP+10MP+12MP,5,Gorilla Glass Victus,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",45W Supported,Yes,2,Above 500 PPI,Type-C,,Yes,,Nano,No,Yes,No,Yes,,No,Not Specified,4K,Android,Yes,SM-S918B,No,Super AMOLED,Octa-core,120 Hz,"Full HD,4K",
Samsung Galaxy A04 ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125589915_NP-1034059786,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50,3,Glass,2022,"4G,GSM,3G",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,Yes,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,SAMSUNG A04,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Nokia G20 ,16/05/23,True,-32%,21999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,124104440_NP-1033676669,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,48,4,Glass,2021,4G,yes,No,2,,Type-C,Yes,Yes,Yes,Micro,No,Yes,Yes,,Side Mounted,,Not Specified,,Nokia OS,,Nokia G20,,,,,,
Samsung Galaxy A24 4G ,16/05/23,False,,31999.0,31999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127456407_NP-1034544138,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,13MP,50MP+5MP+2MP,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA",25W Supported,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SM-A245F,Yes,AMOLED,Quad-core,Above 90 Hz,Full HD,
vivo Y22S,16/05/23,False,,27999.0,27999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,124609030_NP-1033842458,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,8MP,50MP,3,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Honor X9 ,16/05/23,True,-12%,38490.0,33990.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126935323_NP-1034397761,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16 MP,64MP+8MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
OnePlus Nord N20 SE ,16/05/23,True,-4%,23499.0,22499.0,4.8,"[4, 1, 0, 0, 0]","The product was exact as it was advertised..
Thanks for quick delivery too..Good for normal use. Camera quality not good as expected.phone is very handy excellent ...",OnePlus,118060911_NP-1032373548,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,50MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",18W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2049,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Moto E13 ,16/05/23,True,-4%,11999.0,11499.0,0.0,"[0, 0, 0, 0, 0]",,Motorola,127241147_NP-1034544453,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,1,Plastic,2023,4G,10W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel Vision 3 6,16/05/23,True,-3%,12400.0,11999.0,0.0,"[0, 0, 0, 0, 0]",,Itel,127226918_NP-1034496509,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,2,Plastic,2022,4G,18W,No,2,,,Yes,Yes,Yes,Nano,,,,,,,,,,,,,,,,,
Samsung A04s 4,16/05/23,False,,21999.0,21999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120874812_NP-1033548651,4000 - 4999 mAh,6.1 - 6.5 Inch,Ceramic,6mp,50mp,4,Glass,2022,4G,15W wired,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M14 5G ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127318626_NP-1034513801,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,13,50+2+2,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",25W Super Fast Charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,M145G,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD,Ultra HD,4K",
Infinix Smart HD ,16/05/23,False,,12490.0,12490.0,5.0,"[1, 0, 0, 0, 0]",tooo good,Infinix,105773294_NP-1027613314,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5 MP,8 MP,2,Plastic,2020,GSM,Yes,No,2,,,,,,,,,,,,,,HD,Android,Yes,X612B,Yes,IPS LCD,Not Specified,,Full HD,
Oppo A17k ,16/05/23,True,-3%,15000.0,14500.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125158189_NP-1033974719,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP,2,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2471,Yes,IPS LCD,Octa-core,60 Hz,HD,
vivo Y12s ,16/05/23,False,,17999.0,17999.0,4.0,"[0, 1, 0, 0, 0]",,Vivo,105436222_NP-1027154322,Not Specified,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,3,Glasstic,2021,3G,Yes,No,Not Specified,,,,,,,,,,,,,,Not Specified,Android 10,,,,,Not Specified,,,
Honor 50 Lite ,16/05/23,True,-5%,29999.0,28400.0,0.0,"[0, 0, 0, 0, 0]",,Honor,119056001_NP-1032604238,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,16MP,64MP+8MP+2MP+2MP Quad Camera,5,Scratch Resistant Glass,2021,"4G,3G,2G,3.5G - HSDPA",66W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,No,Not Specified,1080p,Android,Yes,NTN-L22,Yes,IPS LCD,Octa-core,,Full HD,
Infinix Smart 6 ,16/05/23,False,,12999.0,12999.0,5.0,"[1, 0, 0, 0, 0]",,Infinix,114098936_NP-1031006803,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 MP,8 MP,3,Plastic,2022,4G,Yes,No,2,,Micro USB,Yes,Yes,Yes,,,Yes,Yes,,Rear,Yes,,1080p,Android,Yes,X6511E,Yes,IPS LCD,Quad-core,,Full HD,
realme C30s ,16/05/23,False,,15999.0,15999.0,5.0,"[1, 0, 0, 0, 0]",good one!,RealMe,120699361_NP-1032907998,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,5MP,8MP,2,Glass,2022,4G,Not Specified,No,2,,,,,,,,,,,,,,,,,,,,,,,
Lava Benco V70 ,16/05/23,False,,9999.0,9999.0,0.0,"[0, 0, 0, 0, 0]",,Lava,126009503_NP-1034144285,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,8,Not Specified,Not Specified,2023,GSM,7.5 Watt,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus Nord CE 2 5G ,16/05/23,False,,48999.0,48999.0,5.0,"[1, 0, 0, 0, 0]",,OnePlus,113920573_NP-1032355295,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,16,64,4,Corning Gorilla Glass 5,2021,"4G,GSM,5G",65W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,,,On-Screen,Yes,Dedicated,2160p,Oxygen OS,Yes,Nord CE 5G,Yes,AMOLED,Octa-core,90 Hz,"Full HD,Ultra HD,4K",
Realme C30 ,16/05/23,True,-5%,13499.0,12800.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120081232_NP-1032882347,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP AI,2,Glass,2021,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,RMX3581,Yes,IPS LCD,Octa-core,,HD,
realme 10 ,16/05/23,True,-2%,29999.0,29499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,126560789_NP-1034306039,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,50MP+2MP,3,Corning Gorilla Glass 5,2023,"4G,3G,2G",33W,No,2,,,,,,,,,,,,,,,,,realme 10,,,,,,1 years realme company warrenty 6 month charger and battery gurrenty also
vivo V21e ,16/05/23,False,,39999.0,39999.0,5.0,"[1, 0, 0, 0, 0]",Got it on time. Excellent communication,Vivo,106076178_NP-1027951032,,6.1 - 6.5 Inch,Plastic,,,4,Glasstic,2021,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
Lava Benco V80 ,16/05/23,False,,13000.0,13000.0,0.0,"[0, 0, 0, 0, 0]",,Lava,124367036_NP-1033793379,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,8,3,Plastic,2021,"4G,GSM,3G,2G",NO,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C30 ,16/05/23,True,-7%,14999.0,14000.0,5.0,"[1, 0, 0, 0, 0]",,RealMe,120487629_NP-1032882274,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP AI,2,Glass,2022,"4G,GSM,2G,3.5G - HSDPA",Yes,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,,Dedicated,1080p,Android,Yes,RMX3581,Yes,IPS LCD,Octa-core,,HD,
OPPO F21 PRO ,16/05/23,True,-4%,44999.0,42999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,118202578_NP-1032399083,4000 - 4999 mAh,6.1 - 6.5 Inch,Metal,32,64,3,Corning Gorilla Glass 5,2022,"4G,GSM,3G",33 WATT,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Dedicated,2160p,Android,Yes,OPPO F21 PRO,Yes,AMOLED,Octa-core,90 Hz,,
Oppo A16 4GB Ram 64GB Rom 5000mah Battery Software Android 11 with ColorOS 11,16/05/23,False,,20000.0,20000.0,5.0,"[1, 0, 0, 0, 0]",,OPPO,114995485_NP-1031465843,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,"13MP primary, 2MP depth, 2MP macro",4,Not Specified,Not Specified,4G,10W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M33 5G 6,16/05/23,True,-1%,35999.0,35499.0,5.0,"[1, 0, 0, 0, 0]","Specs are all good. Phone is fast. screen is tft but its bright with good colors and i am fine with it. mono speaker but its loud. Got only 100gb left out of the box, rest was consumed by system, bloat apps and may be virtual ram. Got amazing deal during dashain dhamakka, So No complaint at all in that price range. Best price deal was offered by this seller in comparison to all sellers in daraz. Fastest delivery too.
Bummer: No charger inside the box, but usb c to c cable is there. Buy 20-25 watts charger extra from daraz and you are all good 👍️ 😊",Samsung,118861507_NP-1032985025,6000 - 6999 mAh,6.1 - 6.5 Inch,Glass,8mp,50mp,4,Corning Gorilla Glass 5,2022,,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
A49 itel 6,16/05/23,False,,11299.0,11299.0,5.0,"[1, 0, 0, 0, 0]",,Itel,119430505_NP-1032690289,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,5,13,2,Glasstic,2022,4G,no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A33 6,16/05/23,False,,42999.0,42999.0,3.5,"[0, 1, 1, 0, 0]","fast delivery, good phone but both free items are useless for this phone. wrong size phone cover & earphone.",Samsung,118865134_NP-1032551859,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,13,48+8+5+2,4,Corning Gorilla Glass 5,2022,"4G,GSM,5G",yes,Yes,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Rear,Yes,Dedicated,4K,Android 11,Yes,Samsung A33,No,Super AMOLED,Octa-core,Above 90 Hz,"HD,Full HD,4K",
vivo Y1s ,16/05/23,False,,13599.0,13599.0,5.0,"[1, 0, 0, 0, 0]",Tq u so much.,Vivo,105891006_NP-1027786995,Not Specified,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,2,Glass,2021,Not Specified,No,No,Not Specified,,,,,,,,,,,,,,Not Specified,Android,,,,,Helio P35,,,
OnePlus 10T 5G ,16/05/23,False,,94999.0,94999.0,5.0,"[1, 0, 0, 0, 0]",,OnePlus,123044831_NP-1033433448,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16MP,50MP+8MP+2MP,4,Corning Gorilla Glass,2022,"4G,3G,2G,5G",Yes,Not Specified,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,No,,4K,Oxygen OS,,,No,AMOLED,Octa-core,120 Hz,4K,
Samsung Galaxy A03 Core ,16/05/23,False,,12499.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120077695_NP-1033978759,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP,2,Glass,2021,"4G,GSM,3G,2G",Not Specified,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SM-A032F,Yes,TFT LCD,Octa-core,90 Hz,HD,
Nokia C1 2nd Edition 1GB Ram 16GB Rom 5mp Front 5mp Rear Camera 2500mah Battery,16/05/23,True,-10%,7800.0,6999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,114471938_NP-1031093233,2000 - 2999 mAh,5.1 - 5.5 Inch,Not Specified,5mp,5mp,2,Not Specified,Not Specified,4G,5W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Moto G22 ,16/05/23,False,,22499.0,22499.0,4.5,"[1, 1, 0, 0, 0]",यसले फोटो राम्रै खिच्छ बोडी राम्रो छ  तर फोन स्वोलो छ |,Motorola,118301268_NP-1032420411,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,16,50,3,Not Specified,Not Specified,"4G,GSM,3G,2G",20W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
HONOR X8 6GB RAM,16/05/23,False,,29990.0,29990.0,5.0,"[1, 0, 0, 0, 0]",,Honor,115816622_NP-1031684034,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,16,64,4,Not Specified,Not Specified,Not Specified,22.5 W,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus Nord 2T 5G ,16/05/23,False,,64999.0,64999.0,4.7,"[2, 1, 0, 0, 0]","I have received the product. It came in a very nice packaging and all required documents (warranty and invoices) were present. Thank you for this wonderful product, quick delivery and overall service.",OnePlus,114797590_NP-1031192534,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32MP IMX615 Front Camera,50MP Main IMX766 OIS + 8MP Ultra-wide + 2MP B&W,4,Not Specified,2022,"4G,3G,2G,5G","Yes, 80WSuperVooc",Not Specified,Not Specified,,Type-C,Yes,Yes,Yes,,No,Yes,,Yes,On-Screen,,,,Oxygen OS,,,,,,90 Hz,,
Realme C55 ,16/05/23,False,,25999.0,25999.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,126573053_NP-1034313001,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,64MP+2MP,3,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA",33W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3710,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
OnePlus Nord C3 Lite ,16/05/23,True,-4%,41999.0,40500.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,127231017_NP-1034497518,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16,108,3,Corning Gorilla Glass,2023,5G,67 watt wired,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus 10 Pro 5G ,16/05/23,False,,134999.0,134999.0,5.0,"[1, 0, 0, 0, 0]",,OnePlus,113426276_NP-1030828507,5000 - 5999 mAh,6.6 - 7 Inch,Glass,32,50,4,Gorilla Glass Victus,2022,5G,80W,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
HONOR X7 4GB RAM,16/05/23,False,,24990.0,24990.0,5.0,"[1, 0, 0, 0, 0]","Price ko hisab le ramrai cha
Normal usage ko lagi thik cha",Honor,115786370_NP-1031677557,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,48,4,Not Specified,Not Specified,Not Specified,22.5 W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A23  5000 mAh  50 MP Camera,16/05/23,True,-2%,29999.0,29499.0,4.5,"[1, 1, 0, 0, 0]",Arrived before 24 hours!!,Samsung,116292453_NP-1031805443,5000 - 5999 mAh,6.6 - 7 Inch,Glass,8 MP,50+5+2+2 MP,4,Corning Gorilla Glass 5,2022,"4G,3G,2G",25 W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,,Yes,Side Mounted,Yes,Shared,1080p,Android 11,Yes,a23 samsung,Yes,IPS LCD,"Qualcomm SDM636 Snapdragon 636, Octa Core",90 Hz,,
OPPO A17 ,16/05/23,False,,19999.0,19999.0,5.0,"[1, 0, 0, 0, 0]",,OPPO,123983344_NP-1033665758,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50,3,Glass,2022,"4G,GSM,3G",Yes,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A17,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
